,artist,date,id,image,painting
43,"Buscatti, Luca Antonio",1514,44,http://nrs.harvard.edu/urn-3:VIT.BB:8719877,"Madonna and Child with St. Zachary, the Infant St. John and St. Catherine"
44,"After Romano, Giulio",1920,45,http://nrs.harvard.edu/urn-3:VIT.BB:8094865,The sisters of Psyche conspiring against her
45,Marco d'Oggiono,1487,46,http://nrs.harvard.edu/urn-3:VIT.BB:10523144,Madonna and Child with St. Catherine and a donor
46,"Pitati, Bonifazio",1515,47,http://nrs.harvard.edu/urn-3:VIT.BB:10589971,Madonna and Child with the Infant St. John and four saints
47,Pseudo Pier Francesco Fiorentino,1451,48,http://nrs.harvard.edu/urn-3:VIT.BB:4863695,Madonna and Child with a goldfinch
48,? Bernardino da Parenzo,1450,49,http://nrs.harvard.edu/urn-3:VIT.BB:10536164,Triumph of Scipio
49,"Near Balducci, Matteo",1509,50,http://nrs.harvard.edu/urn-3:VIT.BB:9435799,Diana and Actaeon
50,"Carpaccio, Vittore",1475,51,http://nrs.harvard.edu/urn-3:VIT.BB:8719117,Young falconer with his horse
51,Paolo di Giovanni Fei,1391,52,http://nrs.harvard.edu/urn-3:VIT.BB:9297514,"Christ on the Cross with the Virgin, St. Mary Magdalen and St. John the Evangelist"
52,"Workshop of Botticelli, Sandro",1491,53,http://nrs.harvard.edu/urn-3:VIT.BB:4890608,Madonna and Child with the Young St. John the Baptist
53,"Oliverio, Alessandro",1525,54,http://nrs.harvard.edu/urn-3:VIT.BB:8738240,Bust of a man
54,"Circle of Botticelli, Sandro",1490,55,http://nrs.harvard.edu/urn-3:VIT.BB:4876799,Blessing Redeemer
55,"Boltraffio, Giovanni Antonio",1487,56,http://nrs.harvard.edu/urn-3:VIT.BB:10523212,Madonna and Child
56,Polidoro da Caravaggio,1526,57,http://nrs.harvard.edu/urn-3:VIT.BB:8095055,Seated woman seen from the back holding a child and beside a standing woman
57,"Moroni, Giovanni Battista",1565,58,http://nrs.harvard.edu/urn-3:VIT.BB:10525949,Female martyr saint (St. Lucy?)
58,"Zaganelli, Francesco di Bosio",1509,59,http://nrs.harvard.edu/urn-3:VIT.BB:8083762,"Annunciation with St. John the Baptist, St. Anthony of Padua and a kneeling donor"
59,"Anonymous painter of Florence, 15th century",1391,60,http://nrs.harvard.edu/urn-3:VIT.BB:4893526,Initial R with Blessing Redeemer crowned by angels
60,"Near Rosselli, Cosimo",1476,61,http://nrs.harvard.edu/urn-3:VIT.BB:4876399,Two angels holding up a curtain
61,"Near Franchi, Rossello di Jacopo",1351,62,http://nrs.harvard.edu/urn-3:VIT.BB:4838719,Madonna and Child with four saints
62,"Anonymous painter of Venice, 16th century",1501,63,http://nrs.harvard.edu/urn-3:VIT.BB:10593707,Birth of Adonis
63,Circle of Giovanni di Paolo,1423,64,http://nrs.harvard.edu/urn-3:VIT.BB:9431278,Assumption of the Virgin with St. Thomas receiving the girdle
64,"Allori, Cristofano",1591,65,http://nrs.harvard.edu/urn-3:VIT.BB:4893788,Man in cloak seen from behind
65,"Granacci, Francesco",1526,66,http://nrs.harvard.edu/urn-3:VIT.BB:4894586,St. Apollonia before the Governor of Alexandria
66,Circle of Eusebio da San Giorgio,1501,67,http://nrs.harvard.edu/urn-3:VIT.BB:8087791,Christ on the Cross with St. Lucy and St. Laurence
67,Copy after Titian,1510,68,http://nrs.harvard.edu/urn-3:VIT.BB:10581460,Madonna and Child
68,"Anonymous painter of Florence, 15th century",1491,69,http://nrs.harvard.edu/urn-3:VIT.BB:4904892,St. Vincent Ferrer raising to life a child killed by his mother
69,"Mazzolino, Ludovico",1504,70,http://nrs.harvard.edu/urn-3:VIT.BB:10582832,Holy family with St. Elizabeth and the Infant St. John
70,"Near Pontormo, Jacopo da",1501,71,http://nrs.harvard.edu/urn-3:VIT.BB:4901119,Portrait of man
71,"Santacroce, Girolamo da",1500,72,http://nrs.harvard.edu/urn-3:VIT.BB:8735610,Presentation in the Temple
72,Niccolò di Pietro Gerini,1395,73,http://nrs.harvard.edu/urn-3:VIT.BB:4828053,St. Stephen; St. Michael; Virgin Annunciate
73,"Bassano, Leandro",1575,74,http://nrs.harvard.edu/urn-3:VIT.BB:10590523,Agostino Barbarigo
74,Jacobello del Fiore,1394,75,http://nrs.harvard.edu/urn-3:VIT.BB:8707877,Christ on the Cross
75,Near Rosso Fiorentino,1501,76,http://nrs.harvard.edu/urn-3:VIT.BB:4893796,The gathering of the manna
76,"After Allori, Cristofano",1601,77,http://nrs.harvard.edu/urn-3:VIT.BB:4893782,Judith with the head of Holofernes
77,Falsely attributed to Raphael,1880,78,http://nrs.harvard.edu/urn-3:VIT.BB:8087497,Head of the Virgin
78,After Raphael,1920,79,http://nrs.harvard.edu/urn-3:VIT.BB:8088666,"St. Cecilia with St. Paul, St. John the Evangelist, St. Augustine and St. Mary Magdalene"
79,Giovanni da Modena,1409,80,http://nrs.harvard.edu/urn-3:VIT.BB:10542241,Madonna and sleeping Child enthroned
80,"School of Pinturicchio, Bernardino",1501,81,http://nrs.harvard.edu/urn-3:VIT.BB:8074290,St. Michael
81,"Workshop of Bachiacca, Francesco Ubertini",1541,82,http://nrs.harvard.edu/urn-3:VIT.BB:4894356,Man holding a water jug
82,"? Anonymous painter of Florence, 15th century",1401,83,http://nrs.harvard.edu/urn-3:VIT.BB:4893546,Male head in roundel (detail of unidentified work)
83,"School of Botticelli, Sandro",1491,84,http://nrs.harvard.edu/urn-3:VIT.BB:4876825,Allegory of Faith
84,"Copy after Moroni, Giovanni Battista",1890,85,http://nrs.harvard.edu/urn-3:VIT.BB:10526495,Bust of a gentleman wearing a beret
85,"Ramenghi, Bartolomeo",1503,86,http://nrs.harvard.edu/urn-3:VIT.BB:10580210,Holy family with the Infant St. John and St. Dorothy
86,? Girolamo del Pacchia,1497,87,http://nrs.harvard.edu/urn-3:VIT.BB:9435867,Desco da parto
87,Formerly attributed to Moretto da Brescia,1516,88,http://nrs.harvard.edu/urn-3:VIT.BB:10526254,Visitation
88,"Near Vanni, Lippo",1351,89,http://nrs.harvard.edu/urn-3:VIT.BB:9297260,Deacon saint
89,After Raphael,1501,90,http://nrs.harvard.edu/urn-3:VIT.BB:8087377,Andrea Navagero
90,"Anonymous painter of Siena, 14th century",1301,91,http://nrs.harvard.edu/urn-3:VIT.BB:9450749,Crucifixion
91,"Tintoretto, Jacopo",1537,92,http://nrs.harvard.edu/urn-3:VIT.BB:10592653,Nobleman with fur trimmed coat standing against a decorated column base
92,"Tintoretto, Jacopo",1537,93,http://nrs.harvard.edu/urn-3:VIT.BB:10593016,Reclining male nude figure
93,Circle of Matteo di Giovanni,1450,94,http://nrs.harvard.edu/urn-3:VIT.BB:9431478,Madonna and Child
94,"Near Lippi, Filippino",1491,95,http://nrs.harvard.edu/urn-3:VIT.BB:4891492,Descent from the Cross
95,"Near Roberti, Ercole de'",1473,96,http://nrs.harvard.edu/urn-3:VIT.BB:10541622,Madonna and Child enthroned
96,Manner of Taddeo di Bartolo,1920,97,http://nrs.harvard.edu/urn-3:VIT.BB:9429338,Madonna and Child with four angels
97,"Gambara, Lattanzio",1551,98,http://nrs.harvard.edu/urn-3:VIT.BB:10526480,Putto with a bow and arrow
98,Anonymous painter of Milan,1401,99,http://nrs.harvard.edu/urn-3:VIT.BB:10530862,Narrative scene
99,"? Caselli, Cristoforo",1480,100,http://nrs.harvard.edu/urn-3:VIT.BB:8720055,Madonna and Child
100,Near Perugino,1491,101,http://nrs.harvard.edu/urn-3:VIT.BB:8084226,Piero de' Medici
101,"Bassano, Jacopo, il vecchio",1534,102,http://nrs.harvard.edu/urn-3:VIT.BB:10590377,Head of a bearded man
102,Bernardino da Parenzo,1450,103,http://nrs.harvard.edu/urn-3:VIT.BB:10536196,Bearded monk carrying tools
103,"? Bartolommeo, Fra",1501,104,http://nrs.harvard.edu/urn-3:VIT.BB:4895197,Madonna and Child with the Infant St. John
104,Manner of Raphael,1501,105,http://nrs.harvard.edu/urn-3:VIT.BB:8088572,Holy Family with St. Anne and the Infant St. John the Baptist
105,Anonymous painter related to Ghirlandaio in Lucca,1501,106,http://nrs.harvard.edu/urn-3:VIT.BB:4875754,Scene with three bishops and a woman saint (?)
106,"Tintoretto, Jacopo",1565,107,http://nrs.harvard.edu/urn-3:VIT.BB:10592580,"Gentleman holding gloves, resting right hand on table"
107,Sassetta,1441,108,http://nrs.harvard.edu/urn-3:VIT.BB:9429592,Assumption of the Virgin
108,School of Titian,1510,109,http://nrs.harvard.edu/urn-3:VIT.BB:10582498,Putto holding a bunch of roses
109,Master Francesco,1391,110,http://nrs.harvard.edu/urn-3:VIT.BB:4904620,Madonna and Child Enthroned with four saints and two angels
110,"? Panetti, Domenico",1480,111,http://nrs.harvard.edu/urn-3:VIT.BB:10541690,Three-quarter portrait of a woman in front of a landscape
111,"Bassano, Jacopo, il vecchio",1545,112,http://nrs.harvard.edu/urn-3:VIT.BB:10590257,Adoration of the shepherds
112,"Attributed to Mariotto, Bernardino di",1880,113,http://nrs.harvard.edu/urn-3:VIT.BB:8084094,Madonna and Child
113,"Campagnola, Domenico",1520,114,http://nrs.harvard.edu/urn-3:VIT.BB:10611369,"Landscape with shepherds, herd of sheep and cows and city view"
114,"Balducci, Giovanni",1591,115,http://nrs.harvard.edu/urn-3:VIT.BB:8095095,Joseph interpreting Pharaoh's dreams
115,"Near Allori, Alessandro",1576,116,http://nrs.harvard.edu/urn-3:VIT.BB:10728546,Young lady
116,"? Anonymous painter of Florence, 16th century",1501,117,http://nrs.harvard.edu/urn-3:VIT.BB:4904029,Battle
117,Follower of Titian,1559,118,http://nrs.harvard.edu/urn-3:VIT.BB:10581641,Entombment of Christ
118,Giorgione,1490,119,http://nrs.harvard.edu/urn-3:VIT.BB:8738043,Portrait of a man
119,"? Anonymous painter of Rome, 16th century",1501,120,http://nrs.harvard.edu/urn-3:VIT.BB:8095406,Massacre of the Innocents
120,Formerly attributed to Matteo di Giovanni,1440,121,http://nrs.harvard.edu/urn-3:VIT.BB:9431413,Birth of the Virgin
121,"Anonymous painter of Florence, 14th century",1391,122,http://nrs.harvard.edu/urn-3:VIT.BB:4893598,St. Anthony Abbot; St. Catherine of Alexandria; St. James the Greater; a deacon saint
122,Copy after Michelangelo,1541,123,http://nrs.harvard.edu/urn-3:VIT.BB:4894194,Rape of Ganymede
123,? Titian,1559,124,http://nrs.harvard.edu/urn-3:VIT.BB:10582394,Doge Lorenzo Priuli
124,Cenni di Francesco di Ser Cenni,1369,125,http://nrs.harvard.edu/urn-3:VIT.BB:4454914,St. Jerome in his study
125,"Aspertini, Amico",1492,126,http://nrs.harvard.edu/urn-3:VIT.BB:10582766,Hunters in a landscape (fragment from a cassone)
126,"Attributed to Anonymous painter of Umbria, 15th century",1401,127,http://nrs.harvard.edu/urn-3:VIT.BB:8095077,"Holy monk praying for the death of a king, whose soul is led away by two devils"
127,Pseudo Pier Francesco Fiorentino,1451,128,http://nrs.harvard.edu/urn-3:VIT.BB:4863721,Madonna and Child with St. John the Baptist
128,"Salviati, Francesco",1541,129,http://nrs.harvard.edu/urn-3:VIT.BB:4902932,Madonna and Child with the Infant St. John the Baptist
129,"Veronese, Paolo",1575,130,http://nrs.harvard.edu/urn-3:VIT.BB:10610914,Judith with the head of Holofernes
130,Circle of Titian,1510,131,http://nrs.harvard.edu/urn-3:VIT.BB:10581462,Virgin in prayer
131,"Near Brini, Francesco",1541,132,http://nrs.harvard.edu/urn-3:VIT.BB:4903181,Madonna and Child holding an orb
132,"Boltraffio, Giovanni Antonio",1487,133,http://nrs.harvard.edu/urn-3:VIT.BB:10523216,"Madonna and Child with a book, flower, and fruit"
133,Girolamo dai Libri,1501,134,http://nrs.harvard.edu/urn-3:VIT.BB:10531183,Funeral of St. Lorenzo Giustiniani
134,"Farinati, Paolo",1552,135,http://nrs.harvard.edu/urn-3:VIT.BB:10533843,Allegory
135,"Anonymous painter of Venice, 16th century",1501,136,http://nrs.harvard.edu/urn-3:VIT.BB:10593873,Three-quarter bust of a man
136,"Romano, Giulio",1501,137,http://nrs.harvard.edu/urn-3:VIT.BB:8088856,Madonna and Child holding a bunch of flowers
137,"? Anonymous painter of Florence, 16th century",1501,138,http://nrs.harvard.edu/urn-3:VIT.BB:4904289,Madonna and Child with the Infant St. John the Baptist
138,"Dossi, Dosso",1512,139,http://nrs.harvard.edu/urn-3:VIT.BB:10582938,Man wearing fur holding a helmet and a sword
139,"Buonconsiglio, Giovanni",1485,140,http://nrs.harvard.edu/urn-3:VIT.BB:8720017,Young man with letter in hand
140,Neri di Bicci,1451,141,http://nrs.harvard.edu/urn-3:VIT.BB:4870603,Virgin Annunciate
141,"Vassilacchi, Antonio",1571,142,http://nrs.harvard.edu/urn-3:VIT.BB:10593290,Bathsheba at the bath
142,Anonymous painter of Sicily,1910,143,http://nrs.harvard.edu/urn-3:VIT.BB:9453054,Flagellation
143,"Sogliani, Giovanni Antonio",1501,144,http://nrs.harvard.edu/urn-3:VIT.BB:4900849,Madonna and Child with the Infant St. John
144,"Anonymous painter of Lombardy, 16th century",1501,145,http://nrs.harvard.edu/urn-3:VIT.BB:10530805,"Christ on the Cross between the Virgin, St. Mary Magdalen, St. John the Evangelist and four angels"
145,"Beccafumi, Domenico",1506,146,http://nrs.harvard.edu/urn-3:VIT.BB:9436089,St. Francis in the Chapel
146,School of Perugino,1501,147,http://nrs.harvard.edu/urn-3:VIT.BB:8087617,Adoration of the Magi
147,Taddeo di Bartolo,1391,148,http://nrs.harvard.edu/urn-3:VIT.BB:9429324,St. Nicholas of Tolentino
148,"Palmezzano, Marco",1491,149,http://nrs.harvard.edu/urn-3:VIT.BB:8074608,Baptism of Christ
149,"After Botticelli, Sandro",1491,150,http://nrs.harvard.edu/urn-3:VIT.BB:4890674,Virgil and Dante at the entrance of Hell
150,"? Vaga, Perino del",1541,151,http://nrs.harvard.edu/urn-3:VIT.BB:8095169,Scene from Roman history
151,Manner of Titian,1510,152,http://nrs.harvard.edu/urn-3:VIT.BB:10581693,St. Mary Magdalene praying
152,Near Bernardino da Parenzo,1450,153,http://nrs.harvard.edu/urn-3:VIT.BB:10536136,Christ carrying the cross
153,Near Raphael,1501,154,http://nrs.harvard.edu/urn-3:VIT.BB:8087337,Portrait of a youth
154,"Follower of Bellini, Giovanni",1451,155,http://nrs.harvard.edu/urn-3:VIT.BB:8706302,Madonna and Child
155,Garofalo (Benvenuto Tisi),1500,156,http://nrs.harvard.edu/urn-3:VIT.BB:10586462,Bishop enthroned with two saints
156,Garofalo (Benvenuto Tisi),1500,157,http://nrs.harvard.edu/urn-3:VIT.BB:10586460,Holy Family with St. Catherine
157,"Workshop of Bachiacca, Francesco Ubertini",1541,158,http://nrs.harvard.edu/urn-3:VIT.BB:4894300,Madonna and Child with the Infant St. John
158,"Anonymous painter of Florence, 16th century",1501,159,http://nrs.harvard.edu/urn-3:VIT.BB:4904177,St. John the Baptist (detail of unidentified work)
159,"School of Francia, Francesco",1485,160,http://nrs.harvard.edu/urn-3:VIT.BB:10583142,Madonna and Child
160,Near Bartolomeo Veneto,1502,161,http://nrs.harvard.edu/urn-3:VIT.BB:8720176,Bust of a man
161,"Chiesa, Matteo della",1494,162,http://nrs.harvard.edu/urn-3:VIT.BB:8718125,Madonna and Child Enthroned with St. Roch and St. Sebastian
162,"Mancini, Domenico",1506,163,http://nrs.harvard.edu/urn-3:VIT.BB:8738216,Two lovers with lute
163,Near Bernardino de' Conti,1494,164,http://nrs.harvard.edu/urn-3:VIT.BB:10522317,Woman wearing a jeweled headband
164,"? Tintoretto, Jacopo",1561,165,http://nrs.harvard.edu/urn-3:VIT.BB:10592748,"Cardinal Charles of Lorraine aged 47, sitting at a table"
165,Girolamo dai Libri,1501,166,http://nrs.harvard.edu/urn-3:VIT.BB:10531171,Christ on the Cross between the Virgin and St. John the Evangelist
166,"Signorelli, Luca",1491,167,http://nrs.harvard.edu/urn-3:VIT.BB:8074344,Male nude leaning forward on a staff
167,"Mazzola, Filippo",1495,168,http://nrs.harvard.edu/urn-3:VIT.BB:8720079,Madonna and Child
168,"Anonymous painter of Tuscany, 15th century",1401,169,http://nrs.harvard.edu/urn-3:VIT.BB:10718154,Deacon saint (fragment)
169,Scarsellino,1600,170,http://nrs.harvard.edu/urn-3:VIT.BB:10586506,Raising of Lazarus
170,Polidoro da Lanciano,1535,172,http://nrs.harvard.edu/urn-3:VIT.BB:10611447,Madonna and Child with St. Jerome
171,"Attributed to Puligo, Domenico",1501,173,http://nrs.harvard.edu/urn-3:VIT.BB:4901007,Holy Family with two angels
172,"Mantegna, Andrea",1451,174,http://nrs.harvard.edu/urn-3:VIT.BB:10533737,Head of St. Simeon [fragment]
173,"Anonymous painter of Emilia, 16th century",1401,175,http://nrs.harvard.edu/urn-3:VIT.BB:10580098,Fox and a deer
174,After Raphael,1920,176,http://nrs.harvard.edu/urn-3:VIT.BB:8087285,Transfiguration
175,"Monza, Antonio da",1480,177,http://nrs.harvard.edu/urn-3:VIT.BB:10519552,Way to Calvary with a kneeling female donor
176,"Near Frangipane, Niccolò",1575,178,http://nrs.harvard.edu/urn-3:VIT.BB:10593200,Four physiognomic studies
177,"Manner of Bellini, Giovanni",1451,179,http://nrs.harvard.edu/urn-3:VIT.BB:8717893,Madonna and Child Blessing with a goldfinch
178,"Mainardi, Bastiano",1491,180,http://nrs.harvard.edu/urn-3:VIT.BB:4875624,Madonna and Child
179,"? Anonymous painter of Bologna, 14th century",1301,181,http://nrs.harvard.edu/urn-3:VIT.BB:10579761,Madonna and Child
180,"Bonsi, Giovanni",1355,182,http://nrs.harvard.edu/urn-3:VIT.BB:4626964,Crucifixion; Angel of Annunciation; St. Margaret and St. Catherine; Virgin Annunciate; St. Nicholas and St. Julian; Christ Blessing
181,Attributed to Rosso Fiorentino,1500,183,http://nrs.harvard.edu/urn-3:VIT.BB:4893842,Theophany with Patriarchs and angels bearing the symbols of the Passion
182,Francesco di Giorgio Martini,1459,184,http://nrs.harvard.edu/urn-3:VIT.BB:9435036,Study for an allegorical scene
183,"Licinio, Bernardino",1530,185,http://nrs.harvard.edu/urn-3:VIT.BB:8747214,"Madonna and Child with the Infant St. John, St. Mary Magdalene and St. Catherine of Alexandria"
184,"Leonbruno, Lorenzo",1485,186,http://nrs.harvard.edu/urn-3:VIT.BB:10583162,Penitent St. Jerome
185,Copy after Titian,1511,187,http://nrs.harvard.edu/urn-3:VIT.BB:10581942,Miracle of the irascible son
186,Near Girolamo del Pacchia,1497,188,http://nrs.harvard.edu/urn-3:VIT.BB:9435806,Study for the Angel of Annunciation
187,"Near Albertinelli, Mariotto",1510,189,http://nrs.harvard.edu/urn-3:VIT.BB:4895168,Madonna and Child Enthroned with St. Jerome and St. Mary Magdalen and two angels
188,"Solario, Antonio",1502,190,http://nrs.harvard.edu/urn-3:VIT.BB:8720229,Madonna and Child with a music-making angel and St. Dominic [?]
189,"? Sarto, Andrea del",1551,191,http://nrs.harvard.edu/urn-3:VIT.BB:4895293,Madonna and Child with the Infant St. John the Baptist
190,Circle of Antonello da Messina,1451,192,http://nrs.harvard.edu/urn-3:VIT.BB:8717975,Crucifixion
191,"After Botticelli, Sandro",1491,193,http://nrs.harvard.edu/urn-3:VIT.BB:4890702,Dante and Virgil over the Malebolge; the punishment of Pandering and Flattery
192,"Manner of Ghirlandaio, David",1491,194,http://nrs.harvard.edu/urn-3:VIT.BB:4875680,Adoration of the Child with the Infant St. John
193,"Near Ferrari, Gaudenzio",1490,195,http://nrs.harvard.edu/urn-3:VIT.BB:10511609,Madonna and Child Enthroned with two angels
194,"Manner of Pesellino, Francesco",1451,196,http://nrs.harvard.edu/urn-3:VIT.BB:4863527,Battle between Romans and Macedons
195,School of Sebastiano del Piombo,1500,197,http://nrs.harvard.edu/urn-3:VIT.BB:8738303,Dead Christ with Nicodemus and St. Mary Magdalene
196,"Near Mantegna, Andrea",1451,198,http://nrs.harvard.edu/urn-3:VIT.BB:10536116,Study for Allegory
197,"Veronese, Paolo",1560,199,http://nrs.harvard.edu/urn-3:VIT.BB:10591158,Wisdom and Strength
198,? Paolo di Giovanni Fei,1391,200,http://nrs.harvard.edu/urn-3:VIT.BB:9297494,"Madonna and Child Enthroned with St. Catherine, St. Anthony and two angels; Christ Blessing; Bishop saint; Angel of Annunciation; St. Christopher; Virgin Annunciate"
199,Benvenuto di Giovanni,1498,201,http://nrs.harvard.edu/urn-3:VIT.BB:9434844,Assumption with St. Thomas receiving the girdle between St. Francis of Assisi and St. Anthony of Padua
200,"Neroni, Bartolomeo",1525,202,http://nrs.harvard.edu/urn-3:VIT.BB:9450711,Martyrdom of St. James the Less
201,"Bassano, Francesco, II",1565,203,http://nrs.harvard.edu/urn-3:VIT.BB:10590599,Adoration of the shepherds
202,School of Titian,1500,204,http://nrs.harvard.edu/urn-3:VIT.BB:10581957,Venus at the mirror
203,"Near Bordone, Paris",1518,205,http://nrs.harvard.edu/urn-3:VIT.BB:10591607,Bust of a bearded man
204,School of Domenico Veneziano,1441,206,http://nrs.harvard.edu/urn-3:VIT.BB:4863241,Ressurection
205,"? Anonymous painter of Lombardy, 16th century",1501,207,http://nrs.harvard.edu/urn-3:VIT.BB:10530771,"Mystic marriage of St. Catherine with St. Joseph, St. Elizabeth and the infant St. John the Baptist"
206,Giovanni del Biondo,1356,208,http://nrs.harvard.edu/urn-3:VIT.BB:4627091,Coronation of the Virgin
207,Near Bernardino da Parenzo,1450,209,http://nrs.harvard.edu/urn-3:VIT.BB:10536158,Three saints
208,"Squarcione, Francesco",1415,210,http://nrs.harvard.edu/urn-3:VIT.BB:10533625,Madonna and Child with St. Roch and St. Anthony Abbot
209,Andrea di Niccolò di Giacomo,1460,211,http://nrs.harvard.edu/urn-3:VIT.BB:9434832,Religious Scenes
210,"Circle of Bartolommeo, Fra",1501,212,http://nrs.harvard.edu/urn-3:VIT.BB:4895353,Female head gazing downwards
211,"Tintoretto, Jacopo",1537,213,http://nrs.harvard.edu/urn-3:VIT.BB:10592806,Procurator of San Marco standing against a window
212,Innocenzo da Imola,1508,214,http://nrs.harvard.edu/urn-3:VIT.BB:10580252,Madonna and Child with the Infant St. John
213,"Near Mazone, Giovanni",1453,215,http://nrs.harvard.edu/urn-3:VIT.BB:10511741,Bust of a young man in profile wearing a hat
214,Near Bartolo di Fredi,1351,216,http://nrs.harvard.edu/urn-3:VIT.BB:9297222,St. Catherine of Alexandria; Saint
